Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Argentina,Superliga,2019/2020,11/02/2020,00:10,Godoy Cruz,Huracan,2,1,H,2.73,2.88,3.06,2.76,3.16,3.06,2.62,2.89,2.93
Argentina,Superliga,2019/2020,14/02/2020,22:00,Patronato,Union de Santa Fe,1,0,H,2.96,2.91,2.79,2.98,3.17,3.17,2.79,2.92,2.74
Argentina,Superliga,2019/2020,15/02/2020,00:10,Colon Santa FE,Racing Club,1,1,D,3.19,3.02,2.53,3.68,3.27,2.54,3.12,2.98,2.43
Argentina,Superliga,2019/2020,15/02/2020,20:35,Huracan,Aldosivi,0,2,A,2.66,2.87,3.16,2.76,3.16,3.58,2.55,2.82,3.1
Argentina,Superliga,2019/2020,15/02/2020,22:40,Atl. Tucuman,Argentinos Jrs,0,2,A,3.32,2.94,2.51,3.38,3.17,2.84,3.16,2.93,2.45
Argentina,Superliga,2019/2020,15/02/2020,22:45,Rosario Central,Gimnasia L.P.,1,0,H,2.04,3.26,4.13,2.16,3.37,4.21,2,3.17,3.94
Argentina,Superliga,2019/2020,16/02/2020,00:50,Talleres Cordoba,San Lorenzo,1,0,H,2.25,3.01,3.81,2.27,3.37,4.21,2.16,3.05,3.62
Argentina,Superliga,2019/2020,16/02/2020,22:40,Lanus,Newells Old Boys,1,1,D,2.4,2.95,3.52,2.51,3.26,3.57,2.37,2.87,3.37
Argentina,Superliga,2019/2020,16/02/2020,22:40,River Plate,Banfield,1,0,H,1.36,4.87,9.72,1.4,5.3,9.72,1.35,4.71,8.59
Argentina,Superliga,2019/2020,17/02/2020,00:50,Central Cordoba,Boca Juniors,0,4,A,4.59,3.21,1.97,4.74,3.57,1.98,4.32,3.2,1.9
Argentina,Superliga,2019/2020,17/02/2020,22:00,Estudiantes L.P.,Defensa y Justicia,1,2,A,2.42,2.82,3.68,2.5,2.96,3.97,2.37,2.77,3.53
Argentina,Superliga,2019/2020,18/02/2020,00:10,Independiente,Arsenal Sarandi,1,1,D,2.21,3.36,3.44,2.24,3.64,4.95,2.14,3.32,3.38
Argentina,Superliga,2019/2020,21/02/2020,22:00,Banfield,Aldosivi,0,1,A,1.83,3.32,5.22,1.85,3.6,5.5,1.78,3.26,5.03
Argentina,Superliga,2019/2020,22/02/2020,00:10,Argentinos Jrs,Patronato,1,1,D,1.97,3.23,4.51,2.01,3.42,4.7,1.91,3.21,4.34
Argentina,Superliga,2019/2020,22/02/2020,20:35,San Lorenzo,Racing Club,0,1,A,2.86,2.87,2.93,2.86,3.37,2.94,2.72,2.91,2.8
Argentina,Superliga,2019/2020,22/02/2020,22:40,Independiente,Gimnasia L.P.,0,1,A,1.95,3.35,4.43,2.01,3.67,4.6,1.93,3.26,4.15
Argentina,Superliga,2019/2020,23/02/2020,00:45,Newells Old Boys,Colon Santa FE,4,0,H,1.69,3.59,5.84,1.73,3.96,6.4,1.65,3.48,5.68
Argentina,Superliga,2019/2020,23/02/2020,00:50,Atl. Tucuman,Lanus,2,2,D,3.87,3.45,2.04,4,3.77,2.06,3.8,3.34,1.98
Argentina,Superliga,2019/2020,23/02/2020,20:35,Arsenal Sarandi,Velez Sarsfield,0,4,A,3.04,3.15,2.54,3.27,3.17,2.65,2.96,3.01,2.5
Argentina,Superliga,2019/2020,23/02/2020,22:40,Boca Juniors,Godoy Cruz,3,0,H,1.16,8.79,15.62,1.23,8.79,23,1.15,7.47,16.67
Argentina,Superliga,2019/2020,24/02/2020,00:45,Estudiantes L.P.,River Plate,0,2,A,5.23,3.63,1.74,5.5,3.7,1.85,4.91,3.44,1.74
Argentina,Superliga,2019/2020,24/02/2020,22:40,Defensa y Justicia,Rosario Central,3,0,H,2.21,3,3.93,2.22,3.24,4.2,2.14,2.98,3.79
Argentina,Superliga,2019/2020,25/02/2020,00:45,Union de Santa Fe,Central Cordoba,0,0,D,2.09,3.2,4.02,2.13,3.48,4.16,2.04,3.13,3.85
Argentina,Superliga,2019/2020,25/02/2020,00:50,Talleres Cordoba,Huracan,4,2,H,1.7,3.6,5.66,1.74,3.69,6.1,1.69,3.49,5.32
