Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Mexico,Liga MX,2019/2020,29/02/2020,03:00,Monarcas,Cruz Azul,2,4,A,2.41,3.35,3.07,2.56,3.52,3.2,2.34,3.25,2.94
Mexico,Liga MX,2019/2020,29/02/2020,03:10,Club Tijuana,Puebla,0,1,A,1.67,3.82,5.54,1.75,3.82,6,1.66,3.63,5.15
Mexico,Liga MX,2019/2020,29/02/2020,23:00,Pachuca,Queretaro,1,1,D,2.34,3.26,3.28,2.39,3.6,4.07,2.21,3.28,3.17
Mexico,Liga MX,2019/2020,01/03/2020,01:00,Club America,Necaxa,0,3,A,1.95,3.38,4.37,2.01,3.65,4.75,1.87,3.41,4.1
Mexico,Liga MX,2019/2020,01/03/2020,03:00,U.A.N.L.- Tigres,U.N.A.M.- Pumas,3,0,H,1.91,3.64,4.19,1.91,3.7,4.33,1.85,3.52,3.98
Mexico,Liga MX,2019/2020,01/03/2020,23:00,Guadalajara Chivas,Club Leon,2,0,H,2.4,3.41,3.04,2.43,3.5,3.05,2.33,3.33,2.9
Mexico,Liga MX,2019/2020,02/03/2020,00:45,Santos Laguna,Atlas,1,0,H,1.53,4.29,6.41,1.55,4.35,6.8,1.51,4.14,5.73
Mexico,Liga MX,2019/2020,07/03/2020,01:00,Queretaro,Toluca,1,1,D,2.03,3.64,3.7,2.05,3.76,4.29,1.96,3.51,3.58
Mexico,Liga MX,2019/2020,07/03/2020,02:00,U.N.A.M.- Pumas,Club America,3,3,D,2.92,3.07,2.69,2.92,3.42,2.74,2.75,3.09,2.58
Mexico,Liga MX,2019/2020,07/03/2020,03:00,Puebla,U.A.N.L.- Tigres,0,0,D,3.18,3.33,2.36,3.4,3.4,2.36,3.17,3.23,2.23
Mexico,Liga MX,2019/2020,07/03/2020,23:00,Cruz Azul,Club Tijuana,4,2,H,1.68,3.83,5.38,1.74,3.83,5.38,1.67,3.63,4.93
Mexico,Liga MX,2019/2020,07/03/2020,23:00,Monterrey,Atl. San Luis,2,2,D,1.65,4.07,5.25,1.68,4.29,6,1.62,3.86,5.05
Mexico,Liga MX,2019/2020,08/03/2020,01:00,Pachuca,Santos Laguna,1,0,H,2.1,3.66,3.45,2.18,3.84,3.55,2.08,3.55,3.22
